Probe Set ID	Percentile
1553623_at	-97.634
1553625_at	-62.0468
1553626_a_at	-54.9258
1553627_s_at	-46.7274
1553629_a_at	74.1767
1553630_at	-43.7353
1553633_s_at	-57.9295
1553634_a_at	-28.3177
1553635_s_at	-58.6008
1553636_at	-66.3022
1553637_s_at	-74.4501
1553639_a_at	-13.7854
1553640_at	-38.4512
1553641_a_at	-86.4821
1553642_at	31.8782
1553644_at	-92.9529
1553645_at	-69.5045
1553646_at	-17.9904
1553647_at	-67.7595
1553651_at	-59.1184
1553652_a_at	-36.6168
1553654_at	-43.7004
1553655_at	-45.5482
1553656_at	17.7726
1553657_at	-72.3844
1553658_at	-74.4746
1553660_at	78.8384
1553661_a_at	-78.8673
1553663_a_at	37.287
1553666_at	-30.0837
1553668_at	13.3574
1553670_at	-28.6348
1553672_at	-33.6563
1553673_at	58.093
1553674_at	-55.804
1553675_at	63.0806
1553677_a_at	-97.4627
1553678_a_at	-41.4768
1553679_s_at	-41.5349
1553681_a_at	-99.7429
1553682_at	-32.6018
1553683_s_at	-42.2171
1553684_at	-33.6456
1553685_s_at	98.6873
1553686_at	90.8665
1553688_at	-75.6063
1553689_s_at	-31.3537
1553690_at	-41.3666
1553691_at	-49.5239
1553693_s_at	15.5903
1553694_a_at	0.936403
1553695_a_at	90.2543
1553696_s_at	-17.7274
1553697_at	-97.6153
1553698_a_at	-99.9113
1553701_a_at	92.9289
1553702_at	35.3172
1553703_at	29.785
1553704_x_at	30.4675
1553705_a_at	-42.9888
1553706_at	-73.3112
1553708_at	-45.9479
1553709_a_at	13.0336
1553710_at	-59.9382
1553711_a_at	-24.2785
1553713_a_at	-49.6461
1553715_s_at	-15.9103
1553717_at	26.2434
1553718_at	-15.7105
1553719_s_at	-13.9264
1553720_a_at	-64.335
1553721_at	-97.8958
1553722_s_at	-61.1058
1553723_at	93.5108
1553725_s_at	-30.32
1553726_s_at	-41.9453
1553727_at	-96.1845
1553728_at	-76.212
1553729_s_at	-76.787
1553730_x_at	-61.6136
1553732_s_at	-56.5837
1553734_at	-36.5092
1553736_at	-95.7675
1553739_at	-62.223
1553740_a_at	-92.4798
1553741_at	-87.6703
1553743_at	-22.5037
1553746_a_at	-41.7144
1553747_at	36.7387
1553749_at	-31.3487
1553750_a_at	67.8708
1553752_at	49.9741
1553755_at	64.1592
1553756_at	2.22421
1553757_at	-49.9022
1553759_at	-87.2393
1553761_at	-96.9129
1553764_a_at	-20.3172
1553765_a_at	-63.8112
1553768_a_at	-58.0048
1553769_at	-78.2997
1553770_a_at	0.108746
1553772_at	-80.5991
1553775_at	-82.5028
1553776_at	-68.9681
1553778_at	-70.3959
1553780_at	-66.2083
1553781_at	-46.31
1553785_at	-14.8381
1553787_at	-54.4699
1553789_a_at	-33.3637
1553792_at	-83.2189
1553793_a_at	64.2928
1553794_at	-44.6316
1553796_at	-55.1382
1553797_a_at	-58.9234
1553798_a_at	87.2126
1553799_at	-76.435
1553801_a_at	-4.62478
1553802_a_at	36.3257
